"Input","SYMBOL","Species"
"AAK1-Homo sapiens","AAK1","Homo sapiens"
"AARS1-Homo sapiens","AARS1","Homo sapiens"
"AASDHPPT-Homo sapiens","AASDHPPT","Homo sapiens"
"ABCE1-Homo sapiens","ABCE1","Homo sapiens"
"ABCF3-Homo sapiens","ABCF3","Homo sapiens"
"ABHD12-Homo sapiens","ABHD12","Homo sapiens"
"ABHD16A-Homo sapiens","ABHD16A","Homo sapiens"
"ABHD6-Homo sapiens","ABHD6","Homo sapiens"
"ABI1-Homo sapiens","ABI1","Homo sapiens"
"ABI2-Homo sapiens","ABI2","Homo sapiens"
"ABLIM1-Homo sapiens","ABLIM1","Homo sapiens"
"ABLIM2-Homo sapiens","ABLIM2","Homo sapiens"
"ABLIM3-Homo sapiens","ABLIM3","Homo sapiens"
"ABR-Homo sapiens","ABR","Homo sapiens"
"ACAP3-Homo sapiens","ACAP3","Homo sapiens"
"ACAT2-Homo sapiens","ACAT2","Homo sapiens"
"ACBD5-Homo sapiens","ACBD5","Homo sapiens"
"ACOT1-Homo sapiens","ACOT1","Homo sapiens"
"ACOT8-Homo sapiens","ACOT8","Homo sapiens"
"ACOX1-Homo sapiens","ACOX1","Homo sapiens"
"ACOX3-Homo sapiens","ACOX3","Homo sapiens"
"ACSL3-Homo sapiens","ACSL3","Homo sapiens"
"ACSL4-Homo sapiens","ACSL4","Homo sapiens"
"ACTA1-Homo sapiens","ACTA1","Homo sapiens"
"ACTB-Homo sapiens","ACTB","Homo sapiens"
"ACTG1-Homo sapiens","ACTG1","Homo sapiens"
"ACTL6B-Homo sapiens","ACTL6B","Homo sapiens"
"ACTN1-Homo sapiens","ACTN1","Homo sapiens"
"ACTN2-Homo sapiens","ACTN2","Homo sapiens"
"ACTN4-Homo sapiens","ACTN4","Homo sapiens"
"ACTR1A-Homo sapiens","ACTR1A","Homo sapiens"
"ACTR1B-Homo sapiens","ACTR1B","Homo sapiens"
"ACTR2-Homo sapiens","ACTR2","Homo sapiens"
"ACTR3-Homo sapiens","ACTR3","Homo sapiens"
"ACYP2-Homo sapiens","ACYP2","Homo sapiens"
"ADAM10-Homo sapiens","ADAM10","Homo sapiens"
"ADAM22-Homo sapiens","ADAM22","Homo sapiens"
"ADAM23-Homo sapiens","ADAM23","Homo sapiens"
"ADCY1-Homo sapiens","ADCY1","Homo sapiens"
"ADCY5-Homo sapiens","ADCY5","Homo sapiens"
"ADD1-Homo sapiens","ADD1","Homo sapiens"
"ADD2-Homo sapiens","ADD2","Homo sapiens"
"ADD3-Homo sapiens","ADD3","Homo sapiens"
"ADGRA1-Homo sapiens","ADGRA1","Homo sapiens"
"ADGRB1-Homo sapiens","ADGRB1","Homo sapiens"
"ADGRB2-Homo sapiens","ADGRB2","Homo sapiens"
"ADGRB3-Homo sapiens","ADGRB3","Homo sapiens"
"ADGRG1-Homo sapiens","ADGRG1","Homo sapiens"
"ADGRL1-Homo sapiens","ADGRL1","Homo sapiens"
"ADGRL2-Homo sapiens","ADGRL2","Homo sapiens"
"ADGRL3-Homo sapiens","ADGRL3","Homo sapiens"
"ADRA2A-Homo sapiens","ADRA2A","Homo sapiens"
"AFAP1-Homo sapiens","AFAP1","Homo sapiens"
"AFDN-Homo sapiens","AFDN","Homo sapiens"
"AGAP1-Homo sapiens","AGAP1","Homo sapiens"
"AGAP2-Homo sapiens","AGAP2","Homo sapiens"
"AGAP3-Homo sapiens","AGAP3","Homo sapiens"
"AGFG1-Homo sapiens","AGFG1","Homo sapiens"
"AGO2-Homo sapiens","AGO2","Homo sapiens"
"AGPAT1-Homo sapiens","AGPAT1","Homo sapiens"
"AGPS-Homo sapiens","AGPS","Homo sapiens"
"AGRN-Homo sapiens","AGRN","Homo sapiens"
"AGTPBP1-Homo sapiens","AGTPBP1","Homo sapiens"
"AHNAK2-Homo sapiens","AHNAK2","Homo sapiens"
"AHSA1-Homo sapiens","AHSA1","Homo sapiens"
"AIP-Homo sapiens","AIP","Homo sapiens"
"AJM1-Homo sapiens","AJM1","Homo sapiens"
"AK1-Homo sapiens","AK1","Homo sapiens"
"AK5-Homo sapiens","AK5","Homo sapiens"
"AKAP12-Homo sapiens","AKAP12","Homo sapiens"
"AKAP9-Homo sapiens","AKAP9","Homo sapiens"
