"Input","SYMBOL","Species"
"AAK1-Macaca mulatta","AAK1","Macaca mulatta"
"ABCA3-Macaca mulatta","ABCA3","Macaca mulatta"
"ABCE1-Macaca mulatta","ABCE1","Macaca mulatta"
"ABHD12-Macaca mulatta","ABHD12","Macaca mulatta"
"ABHD16A-Macaca mulatta","ABHD16A","Macaca mulatta"
"ABHD6-Macaca mulatta","ABHD6","Macaca mulatta"
"ABI1-Macaca mulatta","ABI1","Macaca mulatta"
"ABI2-Macaca mulatta","ABI2","Macaca mulatta"
"ABLIM1-Macaca mulatta","ABLIM1","Macaca mulatta"
"ABLIM2-Macaca mulatta","ABLIM2","Macaca mulatta"
"ABLIM3-Macaca mulatta","ABLIM3","Macaca mulatta"
"ABR-Macaca mulatta","ABR","Macaca mulatta"
"ACAN-Macaca mulatta","ACAN","Macaca mulatta"
"ACBD5-Macaca mulatta","ACBD5","Macaca mulatta"
"ACOX1-Macaca mulatta","ACOX1","Macaca mulatta"
"ACOX3-Macaca mulatta","ACOX3","Macaca mulatta"
"ACSL3-Macaca mulatta","ACSL3","Macaca mulatta"
"ACSL4-Macaca mulatta","ACSL4","Macaca mulatta"
"ACTA1-Macaca mulatta","ACTA1","Macaca mulatta"
"ACTBL2-Macaca mulatta","ACTBL2","Macaca mulatta"
"ACTG1-Macaca mulatta","ACTG1","Macaca mulatta"
"ACTL6B-Macaca mulatta","ACTL6B","Macaca mulatta"
"ACTN1-Macaca mulatta","ACTN1","Macaca mulatta"
"ACTN2-Macaca mulatta","ACTN2","Macaca mulatta"
"ACTN4-Macaca mulatta","ACTN4","Macaca mulatta"
"ACTR1A-Macaca mulatta","ACTR1A","Macaca mulatta"
"ACTR2-Macaca mulatta","ACTR2","Macaca mulatta"
"ACTR3-Macaca mulatta","ACTR3","Macaca mulatta"
"ACTR3B-Macaca mulatta","ACTR3B","Macaca mulatta"
"ACYP2-Macaca mulatta","ACYP2","Macaca mulatta"
"ADAM10-Macaca mulatta","ADAM10","Macaca mulatta"
"ADAM17-Macaca mulatta","ADAM17","Macaca mulatta"
"ADAM22-Macaca mulatta","ADAM22","Macaca mulatta"
"ADAM23-Macaca mulatta","ADAM23","Macaca mulatta"
"ADCY1-Macaca mulatta","ADCY1","Macaca mulatta"
"ADCY2-Macaca mulatta","ADCY2","Macaca mulatta"
"ADCY5-Macaca mulatta","ADCY5","Macaca mulatta"
"ADD1-Macaca mulatta","ADD1","Macaca mulatta"
"ADD2-Macaca mulatta","ADD2","Macaca mulatta"
"ADD3-Macaca mulatta","ADD3","Macaca mulatta"
"ADGRA1-Macaca mulatta","ADGRA1","Macaca mulatta"
"ADGRB1-Macaca mulatta","ADGRB1","Macaca mulatta"
"ADGRB2-Macaca mulatta","ADGRB2","Macaca mulatta"
"ADGRB3-Macaca mulatta","ADGRB3","Macaca mulatta"
"ADGRG1-Macaca mulatta","ADGRG1","Macaca mulatta"
"ADGRL1-Macaca mulatta","ADGRL1","Macaca mulatta"
