"Input","SYMBOL","Species"
"2310022B05Rik-Mus musculus","2310022B05Rik","Mus musculus"
"2410002F23Rik-Mus musculus","2410002F23Rik","Mus musculus"
"4932438A13Rik-Mus musculus","4932438A13Rik","Mus musculus"
"Aak1-Mus musculus","Aak1","Mus musculus"
"Abce1-Mus musculus","Abce1","Mus musculus"
"Abhd12-Mus musculus","Abhd12","Mus musculus"
"Abhd16a-Mus musculus","Abhd16a","Mus musculus"
"Abhd17c-Mus musculus","Abhd17c","Mus musculus"
"Abhd6-Mus musculus","Abhd6","Mus musculus"
"Abi1-Mus musculus","Abi1","Mus musculus"
"Abi2-Mus musculus","Abi2","Mus musculus"
"Ablim1-Mus musculus","Ablim1","Mus musculus"
"Ablim2-Mus musculus","Ablim2","Mus musculus"
"Ablim3-Mus musculus","Ablim3","Mus musculus"
"Abr-Mus musculus","Abr","Mus musculus"
"Acaa1a-Mus musculus","Acaa1a","Mus musculus"
"Acbd5-Mus musculus","Acbd5","Mus musculus"
"Acot11-Mus musculus","Acot11","Mus musculus"
"Acsbg1-Mus musculus","Acsbg1","Mus musculus"
"Acsl3-Mus musculus","Acsl3","Mus musculus"
"Acta1-Mus musculus","Acta1","Mus musculus"
"Actb-Mus musculus","Actb","Mus musculus"
"Actbl2-Mus musculus","Actbl2","Mus musculus"
"Actg1-Mus musculus","Actg1","Mus musculus"
"Actn1-Mus musculus","Actn1","Mus musculus"
"Actn2-Mus musculus","Actn2","Mus musculus"
"Actn4-Mus musculus","Actn4","Mus musculus"
"Actr1a-Mus musculus","Actr1a","Mus musculus"
"Actr1b-Mus musculus","Actr1b","Mus musculus"
"Actr2-Mus musculus","Actr2","Mus musculus"
"Actr3-Mus musculus","Actr3","Mus musculus"
"Actr3b-Mus musculus","Actr3b","Mus musculus"
"Adam22-Mus musculus","Adam22","Mus musculus"
"Adam23-Mus musculus","Adam23","Mus musculus"
"Adap1-Mus musculus","Adap1","Mus musculus"
"Adcy1-Mus musculus","Adcy1","Mus musculus"
"Adcy2-Mus musculus","Adcy2","Mus musculus"
"Adcy5-Mus musculus","Adcy5","Mus musculus"
"Add1-Mus musculus","Add1","Mus musculus"
"Add2-Mus musculus","Add2","Mus musculus"
"Add3-Mus musculus","Add3","Mus musculus"
"Adgra1-Mus musculus","Adgra1","Mus musculus"
"Adgrb1-Mus musculus","Adgrb1","Mus musculus"
"Adgrb2-Mus musculus","Adgrb2","Mus musculus"
"Adgrb3-Mus musculus","Adgrb3","Mus musculus"
"Adgrl1-Mus musculus","Adgrl1","Mus musculus"
"Adgrl2-Mus musculus","Adgrl2","Mus musculus"
"Adgrl3-Mus musculus","Adgrl3","Mus musculus"
"Adrm1-Mus musculus","Adrm1","Mus musculus"
"Afdn-Mus musculus","Afdn","Mus musculus"
"Afg3l1-Mus musculus","Afg3l1","Mus musculus"
"Agap1-Mus musculus","Agap1","Mus musculus"
"Agap2-Mus musculus","Agap2","Mus musculus"
"Agap3-Mus musculus","Agap3","Mus musculus"
"Agfg1-Mus musculus","Agfg1","Mus musculus"
"Agpat1-Mus musculus","Agpat1","Mus musculus"
"Agpat3-Mus musculus","Agpat3","Mus musculus"
"Agpat4-Mus musculus","Agpat4","Mus musculus"
"Agps-Mus musculus","Agps","Mus musculus"
"Agrn-Mus musculus","Agrn","Mus musculus"
"Ahcyl2-Mus musculus","Ahcyl2","Mus musculus"
"Ahsa2-Mus musculus","Ahsa2","Mus musculus"
"Aimp1-Mus musculus","Aimp1","Mus musculus"
"Aimp2-Mus musculus","Aimp2","Mus musculus"
"Aire-Mus musculus","Aire","Mus musculus"
"Ajm1-Mus musculus","Ajm1","Mus musculus"
"Akap5-Mus musculus","Akap5","Mus musculus"
"Akap9-Mus musculus","Akap9","Mus musculus"
"Alb-Mus musculus","Alb","Mus musculus"
"Aldoa-Mus musculus","Aldoa","Mus musculus"
"Alg2-Mus musculus","Alg2","Mus musculus"
"Alg9-Mus musculus","Alg9","Mus musculus"
"Alpl-Mus musculus","Alpl","Mus musculus"
"Amph-Mus musculus","Amph","Mus musculus"
"Ank2-Mus musculus","Ank2","Mus musculus"
"Ank3-Mus musculus","Ank3","Mus musculus"
"Ankle2-Mus musculus","Ankle2","Mus musculus"
"Anks1b-Mus musculus","Anks1b","Mus musculus"
"Ano8-Mus musculus","Ano8","Mus musculus"
"Anpep-Mus musculus","Anpep","Mus musculus"
"Ap1b1-Mus musculus","Ap1b1","Mus musculus"
"Ap1g1-Mus musculus","Ap1g1","Mus musculus"
"Ap2a1-Mus musculus","Ap2a1","Mus musculus"
"Ap2a2-Mus musculus","Ap2a2","Mus musculus"
"Ap2b1-Mus musculus","Ap2b1","Mus musculus"
"Ap2m1-Mus musculus","Ap2m1","Mus musculus"
"Ap2s1-Mus musculus","Ap2s1","Mus musculus"
"Ap3b2-Mus musculus","Ap3b2","Mus musculus"
"Ap3d1-Mus musculus","Ap3d1","Mus musculus"
"Apba1-Mus musculus","Apba1","Mus musculus"
"Apc-Mus musculus","Apc","Mus musculus"
"Apc2-Mus musculus","Apc2","Mus musculus"
"App-Mus musculus","App","Mus musculus"
"Appl1-Mus musculus","Appl1","Mus musculus"
"Aqp4-Mus musculus","Aqp4","Mus musculus"
"Arc-Mus musculus","Arc","Mus musculus"
"Arcn1-Mus musculus","Arcn1","Mus musculus"
"Arf3-Mus musculus","Arf3","Mus musculus"
"Arf4-Mus musculus","Arf4","Mus musculus"
"Arf6-Mus musculus","Arf6","Mus musculus"
"Arfgap1-Mus musculus","Arfgap1","Mus musculus"
"Arhgap1-Mus musculus","Arhgap1","Mus musculus"
"Arhgap21-Mus musculus","Arhgap21","Mus musculus"
"Arhgap23-Mus musculus","Arhgap23","Mus musculus"
"Arhgap26-Mus musculus","Arhgap26","Mus musculus"
"Arhgap32-Mus musculus","Arhgap32","Mus musculus"
"Arhgap33-Mus musculus","Arhgap33","Mus musculus"
"Arhgap39-Mus musculus","Arhgap39","Mus musculus"
"Arhgap44-Mus musculus","Arhgap44","Mus musculus"
"Arhgef2-Mus musculus","Arhgef2","Mus musculus"
"Arhgef4-Mus musculus","Arhgef4","Mus musculus"
"Arhgef7-Mus musculus","Arhgef7","Mus musculus"
"Arl10-Mus musculus","Arl10","Mus musculus"
"Arl6ip5-Mus musculus","Arl6ip5","Mus musculus"
"Arl8a-Mus musculus","Arl8a","Mus musculus"
"Arl8b-Mus musculus","Arl8b","Mus musculus"
"Armc1-Mus musculus","Armc1","Mus musculus"
"Armc6-Mus musculus","Armc6","Mus musculus"
"Armcx1-Mus musculus","Armcx1","Mus musculus"
"Armcx2-Mus musculus","Armcx2","Mus musculus"
"Armcx3-Mus musculus","Armcx3","Mus musculus"
"Armcx4-Mus musculus","Armcx4","Mus musculus"
"Arpc1a-Mus musculus","Arpc1a","Mus musculus"
"Arpc2-Mus musculus","Arpc2","Mus musculus"
"Arpc3-Mus musculus","Arpc3","Mus musculus"
"Arpc4-Mus musculus","Arpc4","Mus musculus"
"Arpc5l-Mus musculus","Arpc5l","Mus musculus"
"Arvcf-Mus musculus","Arvcf","Mus musculus"
"Arxes1-Mus musculus","Arxes1","Mus musculus"
"Asap1-Mus musculus","Asap1","Mus musculus"
"Ascl2-Mus musculus","Ascl2","Mus musculus"
"Asic1-Mus musculus","Asic1","Mus musculus"
"Asrgl1-Mus musculus","Asrgl1","Mus musculus"
"Astn1-Mus musculus","Astn1","Mus musculus"
"Atat1-Mus musculus","Atat1","Mus musculus"
"Atl1-Mus musculus","Atl1","Mus musculus"
"Atl2-Mus musculus","Atl2","Mus musculus"
"Atmin-Mus musculus","Atmin","Mus musculus"
"Atp12a-Mus musculus","Atp12a","Mus musculus"
"Atp13a1-Mus musculus","Atp13a1","Mus musculus"
"Atp1a1-Mus musculus","Atp1a1","Mus musculus"
"Atp1a2-Mus musculus","Atp1a2","Mus musculus"
"Atp1a3-Mus musculus","Atp1a3","Mus musculus"
"Atp1b1-Mus musculus","Atp1b1","Mus musculus"
"Atp1b2-Mus musculus","Atp1b2","Mus musculus"
"Atp2a2-Mus musculus","Atp2a2","Mus musculus"
"Atp2b1-Mus musculus","Atp2b1","Mus musculus"
"Atp2b2-Mus musculus","Atp2b2","Mus musculus"
"Atp2b3-Mus musculus","Atp2b3","Mus musculus"
"Atp2b4-Mus musculus","Atp2b4","Mus musculus"
"Atp2c1-Mus musculus","Atp2c1","Mus musculus"
"Atp6ap1-Mus musculus","Atp6ap1","Mus musculus"
"Atp6v0a1-Mus musculus","Atp6v0a1","Mus musculus"
"Atp6v0c-Mus musculus","Atp6v0c","Mus musculus"
"Atp6v0d1-Mus musculus","Atp6v0d1","Mus musculus"
"Atp6v1a-Mus musculus","Atp6v1a","Mus musculus"
"Atp6v1b2-Mus musculus","Atp6v1b2","Mus musculus"
"Atp6v1c1-Mus musculus","Atp6v1c1","Mus musculus"
"Atp6v1d-Mus musculus","Atp6v1d","Mus musculus"
"Atp6v1e1-Mus musculus","Atp6v1e1","Mus musculus"
"Atp6v1g2-Mus musculus","Atp6v1g2","Mus musculus"
"Atp6v1h-Mus musculus","Atp6v1h","Mus musculus"
